,Unnamed: 0,Name,starName,defaultPlanetEntry,numStars,numPlanets,solution,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,bestEarthMass,bestMassProvenance,eccentricity,equilTemp,stellarEffTemp,stellarRadius,stellarMetallicity,stellarMetallicityRatio,luminosity,stellarAge,distance,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis
35,35,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Published Confirmed,0,,23400000000.0,16.141,4417.837,4417.837,Mass,,,3064.0,194975.76,,,-2.23,0.035,,1.0493061457105701,16.523257597824863,1.8992798511481932,1.5677380698981558,1.8385701159279646,1.7192533033913935,0.003,0.003
174,174,BD+60 1417 b,BD+60 1417,1,1,1,Published Confirmed,0,,249300000000.0,14.684,4767.4261,4767.4261,Mass,,1303.0,4993.0,557073.6,,,0.356,0.1,44.9543,1.5039544503348208,17.99599422867657,2.5783136653487913,2.1282384935860423,2.4958988806905986,2.3339237151651377,0.004,0.003
195,195,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,Published Confirmed,0,8040000.0,30000000000.0,20.849,2479.06157,2479.06157,Mass,,1800.0,2320.0,167122.08,,,-2.85,0.003,,0.2732218740794485,10.890732478543487,1.1739139467741861,0.9689933708451114,1.1363902480749608,1.062642469285729,0.002,0.001
198,198,COCONUTS-2 b,COCONUTS-2 A,1,1,1,Published Confirmed,0,402000000.0,1125900000000.0,12.442,2002.31896,2002.31896,Mass,,434.0,3406.0,271573.38,0.0,[Fe/H],-1.732,0.475,10.8864,1.0383565566841189,12.670028144720465,0.3647094194601484,0.30104507294829247,0.35305162596838696,0.33013980209696486,0.001,0.001
241,241,CoRoT-19 b,CoRoT-19,1,1,1,Published Confirmed,0,3.89713,7770000.0,14.46,352.78,352.78,Mass,0.047,2000.0,6090.0,1148964.3,-0.02,[Fe/H],0.544,5.0,790.663,0.11654212104520142,4.93314498688116,514.6196679964214,424.7867129999837,498.1700522305839,465.84054669887354,0.15,0.162
327,327,CoRoTID 223977153 b,CoRoTID 223977153,1,1,1,Published Confirmed,0,6.71837,10649999.999999998,6.389,47.6745,47.6745,Mass,,938.0,5970.0,550110.18,0.0,[Fe/H],-0.155,,576.683,0.18258761821127442,2.7282406635842937,293.94906681314126,242.63677750037957,284.55310022945395,266.0865926850073,0.352,0.339
455,455,EPIC 246851721 b,EPIC 246851721,1,2,1,Published Confirmed,0,6.180235,10843499.999999998,11.781,953.49,953.49,Mass,,1401.0,6202.0,1107183.78,0.141,[Fe/H],0.526,3.02,372.632,0.5824431145359158,8.985102619157182,431.13387524704746,355.87435366036556,417.35285008906664,390.26810018245396,0.228,0.243
464,464,G 9-40 b,G 9-40,1,1,1,Published Confirmed,0,5.746007,5775000.0,2.025,11.7,11.7,Mass,0.0,456.0,3348.0,215866.02,0.04,[Fe/H],-1.971,9.9,27.9276,1.407325704331569,2.400692111169639,140.3365822052873,115.83917050960932,135.85077841905522,127.03453490397308,0.45,0.396
487,487,GJ 1214 b,GJ 1214,1,1,1,Published Confirmed,0,1.58040433,2235000.0,2.742,8.17,8.17,Mass,0.063,596.0,3250.0,146231.82,0.29,[Fe/H],-2.337,,14.6427,0.3958252967776153,1.723984477926033,182.72927282714758,150.83171514863483,176.88840331883654,165.40896053020265,0.47,0.438
571,571,GJ 3473 b,GJ 3473,1,2,2,Published Confirmed,0,1.1980035,2383500.0,1.264,1.86,1.86,Mass,0.0,773.0,3347.0,250683.12,0.11,[Fe/H],-1.824,,27.3644,0.9199316550151163,1.2115434203779671,237.73291280057006,196.23381864442882,230.1338735223241,215.19898471525832,0.827,0.767
577,577,GJ 357 b,GJ 357,1,1,3,Published Confirmed,0,3.93072,5250000.000000001,1.217,1.84,1.84,Mass,,525.0,3505.0,236756.28000000003,-0.12,[Fe/H],-1.798,,9.44181,1.0196002404300655,1.2280602396601665,162.59876325500497,134.21522432258925,157.40135758654574,147.186556359519,0.671,0.597
583,583,GJ 367 b,GJ 367,1,1,1,Published Confirmed,0,0.321962,1065000.0,0.718,0.546,0.546,Mass,0.0,1745.0,3522.0,320317.32,-0.01,[Fe/H],-1.541,,9.41263,1.4733405804808477,0.870943831273646,418.5738433241413,345.50682399233256,405.19429465838795,378.89859275515016,0.699,0.746
585,585,GJ 3929 b,GJ 3929,1,1,2,Published Confirmed,0,2.616235,3780000.0,1.09,1.75,1.75,Mass,0.0,568.0,3384.0,222829.44,-0.02,[Fe/H],-1.963,7.1,15.8095,1.3497159986321223,1.2654990504400696,174.2613161252069,143.8419405307153,168.69112153029548,157.74365384883836,0.675,0.601
636,636,GJ 486 b,GJ 486,1,1,1,Published Confirmed,0,1.467119,2601000.0,1.305,2.82,2.82,Mass,0.05,701.0,3340.0,229792.86000000002,0.07,[Fe/H],-1.917,,8.07426,1.267364138717238,1.4681666226216255,215.71319610649164,178.0579041635748,208.8180084324807,195.2664452092184,0.73,0.654
761,761,GPX-1 b,GPX-1,1,1,1,Published Confirmed,0,1.744579,5069999.999999999,16.477,6261.21962,6261.21962,Mass,0.0,2300.0,7000.0,1086293.52,0.35,[Fe/H],0.727,0.27,655.013,1.3980038043540142,19.469125567168124,707.8527278037704,584.2886547700443,685.2264931001779,640.7576744709463,0.122,0.126
819,819,HAT-P-12 b,HAT-P-12,1,1,1,Published Confirmed,0,3.2130598,5759999.999999999,10.749,67.059,67.059,Mass,0.0,963.0,4650.0,487439.39999999997,-0.29,[Fe/H],-0.678,2.5,142.751,0.053930782923204273,2.4945979046887072,295.79147153940585,244.15756867171697,286.33661321154904,267.7543618712593,0.212,0.207
861,861,HAT-P-16 b,HAT-P-16,1,3,1,Published Confirmed,0,2.77596,6195000.000000001,14.448,1332.605,1332.605,Mass,0.036,1626.0,6158.0,863464.08,0.17,[Fe/H],0.294,2.0,226.637,0.4413286080192833,9.591861538962677,499.08697313522435,411.9654338992295,483.133853866051,451.7801453659476,0.18,0.193
878,878,HAT-P-18 b,HAT-P-18,1,1,1,Published Confirmed,0,5.508023,8385000.0,11.153,62.61,62.61,Mass,0.084,852.0,4803.0,522256.5,0.1,[Fe/H],-0.569,12.4,161.4,0.04507673358790954,2.366366720864323,261.03296486541956,215.46657080077418,252.68914856517787,236.29050077460408,0.194,0.183
890,890,HAT-P-19 b,HAT-P-19,1,1,1,Published Confirmed,0,4.008778,6990000.0,12.689,92.802,92.802,Mass,0.067,1010.0,4990.0,571000.44,0.23,[Fe/H],-0.432,8.8,202.078,0.045368976785071805,2.7009778179558674,309.35582774065426,255.3541059263509,299.4673900890802,280.03299695143227,0.183,0.187
913,913,HAT-P-20 b,HAT-P-20,1,1,1,Published Confirmed,0,2.875317,5415000.0,9.718,2302.899,2302.899,Mass,0.015,970.0,4595.0,480475.98,0.35,[Fe/H],-0.721,6.7,71.0374,2.5062711095263923,15.374643221681106,297.61009548699496,245.6587302808081,288.09710555822824,269.4006043813502,0.231,0.212
954,954,HAT-P-25 b,HAT-P-25,1,1,1,Published Confirmed,0,3.65281514,6990000.0,12.722,180.84527,180.84527,Mass,0.023,1182.0,5519.0,640634.64,0.294,[Fe/H],-0.152,,300.384,0.08772529179584544,3.76558044329829,363.461405618789,300.01491469663927,351.8435043997826,329.0100834206265,0.19,0.204
969,969,HAT-P-27 b,HAT-P-27,1,2,1,Published Confirmed,0,3.039577,6000000.0,11.43,197.05,197.05,Mass,0.0,,5316.0,598854.12,0.3,[M/H],-0.269,,199.173,0.13180187511320723,4.146876987144012,366.75096436622135,302.7302420236778,355.0279136925797,331.98783561433515,0.215,0.231
972,972,HAT-P-28 b,HAT-P-28,1,1,1,Published Confirmed,0,3.257215,6510000.0,13.585,198.953,198.953,Mass,0.051,1384.0,5680.0,765976.2000000001,0.12,[Fe/H],0.053,6.1,401.319,0.07926024398112935,3.8220949607459844,423.7955531608433,349.8170225636545,410.2490945890056,383.62535373283026,0.164,0.177
1062,1062,HAT-P-37 b,HAT-P-37,1,1,1,Published Confirmed,0,2.797436,5685000.000000001,13.204,371.528,371.528,Mass,0.058,1271.0,5500.0,612780.96,,,-0.208,,390.594,0.16119770099792477,5.297842771923074,390.23988516215786,322.1188936383149,377.76602035163796,353.25031815322967,0.197,0.211
1067,1067,HAT-P-38 b,HAT-P-38,1,1,1,Published Confirmed,0,4.640382,7845000.0,9.247,84.857,84.857,Mass,0.067,1082.0,5330.0,640634.64,,,-0.208,,255.206,0.10719362104866603,3.0255160165432664,332.20060245262476,274.2110547812295,321.5819405410023,300.7123899145301,0.247,0.265
1072,1072,HAT-P-39 b,HAT-P-39,1,2,1,Published Confirmed,0,3.54387,7635000.0,17.609,190.372,190.372,Mass,0.0,1752.0,6430.0,1128074.04,,,0.607,,697.004,0.03482433508646448,3.2839023750017318,538.322297703283,444.35176810530766,521.1150366790826,487.29648137745664,0.105,0.114
1100,1100,HAT-P-42 b,HAT-P-42,1,1,1,Published Confirmed,0,4.641878,8625000.0,14.348,331.801,331.801,Mass,0.0,1428.0,5743.0,1065403.26,0.27,[Fe/H],0.356,5.2,405.238,0.1121985973093107,4.802852060762201,438.34629263231,361.8277582121148,424.33472538255035,396.79687602744264,0.165,0.178
1112,1112,HAT-P-44 b,HAT-P-44,1,1,2,Published Confirmed,0,4.301219,7605000.0,13.922,111.871,111.871,Mass,0.044,1108.0,5295.0,661524.9,0.33,[Fe/H],-0.194,7.5,347.85,0.041409164962286846,2.8311572612988263,340.13183374462494,280.7577957631439,329.25965313673635,307.89184563849255,0.162,0.175
1120,1120,HAT-P-45 b,HAT-P-45,1,1,1,Published Confirmed,0,3.128992,6780000.0,15.984,283.492,283.492,Mass,0.049,1652.0,6330.0,919171.4400000001,0.07,[Fe/H],0.4,2.0,298.64,0.06933750913038021,4.20613993012513,507.0864931412989,418.5685429917907,490.8776723539085,459.02141693931515,0.131,0.142
1150,1150,HAT-P-52 b,HAT-P-52,1,1,1,Published Confirmed,0,2.7535953,5541000.0,11.31,259.98494,259.98494,Mass,0.047,1218.0,5131.0,619744.38,0.28,[Fe/H],-0.305,9.4,361.155,0.17949163668923382,4.788492831136462,373.8116348274517,308.5583888733294,361.8628925929169,338.379248131711,0.224,0.24
1162,1162,HAT-P-54 b,HAT-P-54,1,1,1,Published Confirmed,0,3.799847,6175500.0,10.581,241.5508,241.5508,Mass,0.074,818.0,4390.0,431732.04,-0.127,[Fe/H],-0.902,3.9,143.651,0.20366301930926659,4.771961500062658,251.1081605179873,207.2742585397064,243.0815866945091,227.30643628851968,0.254,0.238
1187,1187,HAT-P-58 b,HAT-P-58,1,1,1,Published Confirmed,0,4.0138379,7491000.0,14.93,118.23217,118.23217,Mass,0.073,1622.0,6078.0,1065403.26,-0.224,[Fe/H],0.456,7.11,515.59,0.03548461342274702,2.81056720676526,498.2266924874626,411.2553254223364,482.3010717516462,451.00140791732264,0.121,0.132
1191,1191,HAT-P-59 b,HAT-P-59,1,1,1,Published Confirmed,0,4.1419771,7596000.0,12.588,489.45575,489.45575,Mass,0.03,1278.0,5678.0,765976.2000000001,0.217,[Fe/H],0.054,7.3,265.471,0.24509083590281203,6.227796291669689,392.55852363499963,324.0327863182204,380.01054445546106,355.3491804411614,0.213,0.228
1209,1209,HAT-P-63 b,HAT-P-63,1,1,1,Published Confirmed,0,3.377728,6441000.0,12.543,195.14664,195.14664,Mass,0.069,1237.0,5400.0,675451.74,0.251,[Fe/H],-0.146,9.0,4483.05,0.0987735475473962,3.9394525709263157,379.94456821174845,313.6207461351615,367.79978916796784,343.9308607463856,0.19,0.205
1217,1217,HAT-P-66 b,HAT-P-66,1,1,1,Published Confirmed,0,2.972086,6544500.0,17.822,248.86089,248.86089,Mass,0.09,1896.0,6002.0,1309122.96,0.035,[Fe/H],0.615,4.66,935.456,0.04391078214107519,3.7321247630546153,584.1288462024287,482.1622413166848,565.4573968285997,528.7611764177926,0.103,0.112
1221,1221,HAT-P-67 b,HAT-P-67,1,2,1,Published Confirmed,0,4.8101025,9757500.0,23.371,108.0622,108.0622,Mass,0.0,1903.0,6406.0,1775672.0999999999,-0.08,[Fe/H],0.939,1.24,371.686,0.008455236498219774,2.1476044887279335,576.4711927060573,475.841321887622,558.044517221601,521.8293669417409,0.064,0.07
1223,1223,HAT-P-68 b,HAT-P-68,1,1,1,Published Confirmed,0,2.29840551,4494000.0,12.016,230.10892,230.10892,Mass,0.041,1028.0,4508.0,466549.14,-0.059,[Fe/H],-0.779,11.1,202.152,0.13247610051483266,4.370617652316813,315.95872718652447,260.80439111036003,305.8592304449473,286.01002907621927,0.226,0.235
1226,1226,HAT-P-69 b,HAT-P-69,1,1,1,Published Confirmed,0,4.7869491,9832500.0,18.786,1137.8314,1137.8314,Mass,0.0,1930.0,7394.0,1343940.06,-0.069,[Fe/H],1.0,1.27,341.263,0.17141893849705994,7.772806324936013,594.7917172477082,490.9637819964291,575.7794333847148,538.4133486646316,0.123,0.134
1252,1252,HAT-P-70 b,HAT-P-70,1,1,1,Published Confirmed,0,2.74432452,7108500.0,20.961,2154.8874,2154.8874,Mass,0.0,2562.0,8450.0,1295196.12,-0.059,[Fe/H],1.223,0.6,330.739,0.23370738107254863,10.126569324444956,795.3493048018463,656.5116684890247,769.9262763456015,719.9607360673933,0.098,0.106
1270,1270,HAT-P-9 b,HAT-P-9,1,1,1,Published Confirmed,0,3.92281072,7930500.0,15.614,238.05467,238.05467,Mass,0.084,1540.0,6350.0,933098.28,0.12,[Fe/H],0.418,,455.203,0.06246230712336113,3.8997549099199067,473.74714413469127,391.048972017728,458.6040025569141,428.84219617946917,0.136,0.147
1303,1303,HATS-16 b,HATS-16,1,1,1,Published Confirmed,0,2.686502,5616000.0,14.572,1039.3041,1039.3041,Mass,0.0,1592.0,5738.0,863464.08,-0.1,[Fe/H],0.173,9.5,757.044,0.33548182256708675,8.43466400703341,488.9149757033715,403.56907903284093,473.2870003409139,442.5723184223672,0.177,0.19
1308,1308,HATS-17 b,HATS-17,1,1,1,Published Confirmed,0,16.254611,19620000.0,8.709,425.25654,425.25654,Mass,0.029,814.0,5846.0,759012.78,0.3,[Fe/H],0.093,2.1,400.331,0.6430281278030058,6.979067578645717,249.8028495552014,206.19680505744168,241.8179994844829,226.12485149817613,0.319,0.296
1318,1318,HATS-2 b,HATS-2,1,1,1,Published Confirmed,0,1.354133,3450000.0,13.092,427.463,427.463,Mass,0.0,1577.0,5227.0,626707.8,0.15,[Fe/H],-0.268,9.7,341.925,0.1902673985816315,5.706926964562084,483.93534441671414,399.4587013349838,468.46654101447314,438.06469015785353,0.178,0.192
1322,1322,HATS-22 b,HATS-22,1,1,1,Published Confirmed,0,4.7228124,7537500.0,10.682,870.8542,870.8542,Mass,0.079,858.0,4803.0,480475.98,0.0,[Fe/H],-0.646,,229.518,0.7136274889204197,9.017839195833991,263.3802630646889,217.4041203125922,254.9614162985186,238.4153062268911,0.292,0.271
1333,1333,HATS-24 b,HATS-24,1,1,1,Published Confirmed,0,1.3484978,3570000.0000000005,15.637,718.2958,718.2958,Mass,0.0,2166.0,6125.0,779903.04,-0.229,[Fe/H],0.19,3.7,494.182,0.18764062007347393,6.769100992994849,619.2453892560262,511.1487760788266,599.4514533621908,560.5491367923971,0.136,0.147
1359,1359,HATS-3 b,HATS-3,1,1,1,Published Confirmed,0,3.547851,7275000.0,15.48,340.382,340.382,Mass,0.0,1648.0,6351.0,974878.7999999999,-0.157,[Fe/H],0.456,3.2,411.211,0.09165107380244797,4.683320322054017,505.56894693566517,417.31590244070856,489.40863391729727,457.64771399316555,0.14,0.152
1362,1362,HATS-30 b,HATS-30,1,2,1,Published Confirmed,0,3.1743516,6531000.0,13.171,224.38798,224.38798,Mass,0.096,1414.0,5943.0,738122.52,0.06,[Fe/H],0.097,2.3,342.14,0.09809055246699398,4.1223652435626565,433.9673416759554,358.21320498219256,420.0957458753437,392.8329915622069,0.171,0.185
1374,1374,HATS-33 b,HATS-33,1,1,1,Published Confirmed,0,2.5495551,5590500.0,13.787,378.85336,378.85336,Mass,0.08,1429.0,5659.0,710268.84,0.29,[Fe/H],-0.018,3.0,248.46,0.1443928396648157,5.235482739179392,439.0071199060578,362.3732302625108,424.97442957178214,397.3950656374021,0.176,0.19
1387,1387,HATS-37 A b,HATS-37 A,1,2,1,Published Confirmed,0,4.3315366,7369500.0,6.793,31.46517,31.46517,Mass,0.0,1085.0,5326.0,612780.96,0.051,[Fe/H],-0.256,11.46,211.896,0.10026031842981716,2.149514020480893,333.40942925676586,275.2088665568979,322.7521276706573,301.8066359652062,0.287,0.308
1390,1390,HATS-38 b,HATS-38,1,1,1,Published Confirmed,0,4.375021,7554000.0,6.882,23.51942,23.51942,Mass,0.0,1294.0,5732.0,765976.2000000001,-0.102,[Fe/H],0.072,11.89,343.525,0.0720719783850951,1.8463414427658218,397.7483616474413,328.3166766694979,385.0344913321753,360.0470906209395,0.242,0.262
1396,1396,HATS-4 b,HATS-4,1,1,1,Published Confirmed,0,2.516729,5430000.0,11.433,420.471,420.471,Mass,0.013,1315.0,5403.0,647598.06,0.43,[Fe/H],-0.187,2.1,416.459,0.28102132567711546,6.056810281328493,404.1540869387773,333.6042067817484,391.2354601279925,365.84563808675364,0.226,0.242
1430,1430,HATS-47 b,HATS-47,1,1,1,Published Confirmed,0,3.9228038,6403500.0,12.52,117.27927,117.27927,Mass,0.088,853.0,4512.0,459585.72000000003,-0.113,[Fe/H],-0.796,8.1,300.67,0.059688698366765616,3.056782306298591,262.11277161917803,216.3578845031635,253.734439719737,237.2679561650255,0.192,0.182
1435,1435,HATS-49 b,HATS-49,1,1,1,Published Confirmed,0,4.1480467,6772500.0,8.575,112.19399,112.19399,Mass,0.071,835.0,4405.0,487439.39999999997,0.208,[Fe/H],-0.785,10.5,324.413,0.17772603335399018,3.6126324660956275,256.4911488584471,211.71758254277785,248.29250992479288,232.17918870615733,0.284,0.267
1436,1436,HATS-5 b,HATS-5,1,1,1,Published Confirmed,0,4.763387,8130000.0,10.223,75.323,75.323,Mass,0.019,1025.0,5304.0,605817.54,0.19,[Fe/H],-0.268,3.6,246.384,0.07041681333528628,2.7110072083824006,315.2474751016476,260.21729649653486,305.17071325388906,285.36619425865445,0.222,0.231
1455,1455,HATS-54 b,HATS-54,1,1,1,Published Confirmed,0,2.5441765,5550000.0,11.377,239.32479,239.32479,Mass,0.0,1429.0,5621.0,856500.66,0.37,[Fe/H],0.115,7.96,748.585,0.16232606209632267,4.5807439054858134,475.66412536020414,392.6313214775507,460.4597082297207,430.57747300163413,0.191,0.206
1459,1459,HATS-55 b,HATS-55,1,1,1,Published Confirmed,0,4.2042001,8118000.0,14.022,292.72143,292.72143,Mass,0.092,1367.0,6214.0,786866.46,0.108,[Fe/H],0.229,0.4,609.838,0.10604946224874717,4.563292695862893,419.97396278854956,346.66253602994055,406.54965985348224,380.16599945820724,0.17,0.184
1462,1462,HATS-56 b,HATS-56,1,1,1,Published Confirmed,0,4.324799,9064500.0,18.921,191.33366,191.33366,Mass,0.019,1902.0,6536.0,1531952.4000000001,0.19,[Fe/H],0.898,1.894,564.409,0.02821259035011111,3.1759941585020415,584.1507828198266,482.1803486378354,565.4786322506299,528.781033734714,0.091,0.1
1466,1466,HATS-57 b,HATS-57,1,1,1,Published Confirmed,0,2.350621,5239500.0,12.767,1000.21101,1000.21101,Mass,0.028,1413.0,5587.0,668488.32,0.268,[Fe/H],-0.094,2.5,279.485,0.48007478551083055,8.840105224070577,434.0622000755652,358.2915047252389,420.18757216342965,392.9188586432403,0.213,0.228
1485,1485,HATS-61 b,HATS-61,1,1,1,Published Confirmed,0,7.817953,11862000.0,13.395,1080.622,1080.622,Mass,0.092,1226.0,5542.0,1155927.72,0.247,[Fe/H],0.369,8.9,679.761,0.4490859747741479,8.970602063050377,376.5892597196131,310.8511464596881,364.55173179525895,340.8935910120104,0.224,0.238
1494,1494,HATS-65 b,HATS-65,1,2,1,Published Confirmed,0,3.105161,6745500.0,16.825,260.93843,260.93843,Mass,0.062,1634.0,6277.0,912208.02,0.199,[Fe/H],0.377,1.78,493.32,0.054721332881037775,3.9332136194285803,501.6950503554198,414.1182403668297,485.65856492123606,454.14101144558833,0.122,0.133
1497,1497,HATS-66 b,HATS-66,1,1,1,Published Confirmed,0,3.1414391,7071000.0,15.816,1694.0339,1694.0339,Mass,0.064,1998.0,6626.0,1281269.28,-0.017,[Fe/H],0.767,2.17,1477.98,0.42767707276624073,10.336387175687852,613.3473186981198,506.280283556787,593.741912315438,555.2101251221656,0.149,0.16
1500,1500,HATS-67 b,HATS-67,1,1,1,Published Confirmed,0,1.6091788,4548000.0,18.887,460.8535,460.8535,Mass,0.057,2193.0,6594.0,1002732.48,0.332,[Fe/H],0.547,0.51,960.109,0.06832156250698422,4.933509890080879,673.8087737281604,556.187475882724,652.2707406587454,609.9406358604363,0.098,0.107
1503,1503,HATS-68 b,HATS-68,1,1,1,Published Confirmed,0,3.5862202,7606500.0,13.809,410.0007,410.0007,Mass,0.036,1741.0,6147.0,1218598.5,0.21,[Fe/H],0.592,3.02,603.955,0.1555183895206103,5.442108956494939,534.6929462720977,441.355962929852,517.6016960423441,484.0111443411788,0.157,0.17
1519,1519,HATS-71 b,HATS-71,1,1,1,Published Confirmed,0,3.7955202,5617500.0,11.478,117.5971,117.5971,Mass,0.0,587.0,3405.0,334244.16,0.17,[Fe/H],-1.56,3.2,140.225,0.07767509473748471,3.196842527776717,180.2707846826396,148.80238521276027,174.50849978322907,163.1835044652427,0.171,0.16
1523,1523,HATS-72 b,HATS-72,1,1,1,Published Confirmed,0,7.3279474,9977550.000000002,8.097,39.85588,39.85588,Mass,0.013,739.0,4656.1,501366.24,0.099,[Fe/H],-0.659,12.17,127.589,0.07499008151091037,2.2158490920218075,227.2139194049711,187.55104006742332,219.95111562327085,205.67705242455204,0.236,0.222
1524,1524,HATS-74 A b,HATS-74 A,1,2,1,Published Confirmed,0,1.73185606,3576000.0,11.568,464.02947,464.02947,Mass,0.044,895.0,3776.9,403878.36,0.514,[Fe/H],-1.216,11.0,299.389,0.2994019082652469,6.325570345019864,275.421687339576,227.34357143672423,266.61794117116074,249.3153631351037,0.265,0.249
1526,1526,HATS-75 b,HATS-75,1,1,1,Published Confirmed,0,2.7886556,4911300.0,9.909,156.05375,156.05375,Mass,0.064,772.0,3790.4,403878.36,0.522,[Fe/H],-1.197,14.9,194.964,0.16020223288769686,3.9634943067223087,237.6012155146947,196.12511067880476,230.00638588851757,215.07977058593875,0.247,0.232
1529,1529,HATS-76 b,HATS-76,1,1,1,Published Confirmed,0,1.9416423,3987000.0,12.094,835.57088,835.57088,Mass,0.062,940.0,4016.0,438695.46,0.322,[Fe/H],-1.038,4.6,385.689,0.4717992479720688,8.301617404405306,288.9839825280286,238.5384074527436,279.7467229153614,261.59213255916734,0.276,0.259
1531,1531,HATS-77 b,HATS-77,1,1,1,Published Confirmed,0,3.0876262,5410500.0,13.058,436.69623,436.69623,Mass,0.045,828.0,4071.0,445658.88,0.253,[Fe/H],-0.992,12.1,436.176,0.1958994834098502,5.7757373747272105,254.72888170537996,210.26293998258635,246.5865729498116,230.58396111369,0.225,0.211
1849,1849,HD 136352 b,HD 136352,1,1,3,Published Confirmed,0,11.57797,14460000.0,1.664,4.72,4.72,Mass,0.0,905.0,5664.0,738122.52,-0.24,[M/H],0.016,12.3,14.682,1.023212586298141,1.6820944837227632,278.36379147263057,229.77209646541124,269.4660020999976,251.97859480505358,0.807,0.728
1853,1853,HD 136352 c,HD 136352,1,1,3,Published Confirmed,0,27.59221,25815000.0,2.916,11.24,11.24,Mass,0.0,677.0,5664.0,738122.52,-0.24,[M/H],0.016,12.3,14.682,0.4527803732853807,1.9608548379500061,208.33432266223903,171.9671004284002,201.67499778262004,188.5869911326278,0.503,0.469
1858,1858,HD 136352 d,HD 136352,1,1,3,Published Confirmed,0,107.245,63750000.0,2.562,8.82,8.82,Mass,0.0,431.0,5664.0,738122.52,-0.24,[M/H],0.016,12.3,14.682,0.5238597722517757,1.8531082012756743,132.57352232186398,109.43124462613073,128.33586169880846,120.00731016880196,0.408,0.375
2312,2312,HD 191939 b,HD 191939,1,1,6,Published Confirmed,0,8.8803256,12060000.0,3.41,10.0,10.0,Mass,0.031,880.0,5348.0,654561.48,-0.15,[Fe/H],-0.187,8.7,53.6089,0.2518956709983216,1.7103258461423294,271.1897281735274,223.85035084005546,262.52125491935817,245.48453758738464,0.497,0.47
2316,2316,HD 191939 c,HD 191939,1,1,6,Published Confirmed,0,28.579743,26280000.0,3.195,8.0,8.0,Mass,0.034,600.0,5348.0,654561.48,-0.15,[Fe/H],-0.187,8.7,53.6089,0.2449972673714911,1.5803948671567087,183.71059731622935,151.64173783145685,177.83836015566774,166.2972684688841,0.41,0.383
